,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
6972,MiawAug,Saat Menegangkan - The Walking Dead: Michonne - Indonesia Part 6,130842,4192,0,28.217,2017-09-07,8
6973,MiawAug,KZL 😱😱 - Tap Tap Dash - IOS & Android Indonesia,303053,7581,0,10.233,2017-09-06,11
6974,MiawAug,Sam Tertembak - The Walking Dead: Michonne - Indonesia Part 5,125094,4200,0,33.133,2017-09-05,10
6975,MiawAug,Yahh !!! - The Walking Dead: Michonne - Indonesia Part 4,132490,4386,0,21.267,2017-09-04,9
6976,MiawAug,Banyak Hal Baru di Hello Neighbor (Beta 3),5576068,47204,0,10.633,2017-09-03,8
6977,MiawAug,Menjadi Tahanan - The Walking Dead: Michonne - Indonesia Part 3,135293,4630,0,27.717,2017-09-02,12
6978,MiawAug,Terjebak - The Walking Dead: Michonne - Indonesia Part 2,162004,5694,0,23.233,2017-09-01,10
6979,MiawAug,Lanjut TWD - The Walking Dead: Michonne - Indonesia Part 1,336423,12646,0,20.75,2017-08-31,10
6980,MiawAug,Main Game Bisa Pinter ? - Asah Otak Game,1342940,24392,0,12.15,2017-08-30,12
6981,MiawAug,GW BEBAS !!! - Hellblade: Senua's Sacrifice - Indonesia (END),129463,4499,0,52.95,2017-08-29,13
6982,MiawAug,Dunia Kegelapan - Hellblade: Senua's Sacrifice - Indonesia #6,64959,2665,0,45.067,2017-08-28,12
6983,MiawAug,Skandal Sepak Bola yang Tak Terduga - Crazy Freekick,3902798,40830,0,12.367,2017-08-27,7
6984,MiawAug,Dapet LightSaber - Hellblade: Senua's Sacrifice - Indonesia #5,103033,3361,0,49.917,2017-08-26,13
6985,MiawAug,Pedang Gw Patah - Hellblade: Senua's Sacrifice - Indonesia #4,92590,3426,0,48.55,2017-08-25,9
6986,MiawAug,Rahasia di Super Market Hello Neighbor (Beta 3),9810716,79823,0,24.183,2017-08-24,9
6987,MiawAug,Pembunuh Para Dewa - Hellblade: Senua's Sacrifice - Indonesia #3,89930,3111,0,46.55,2017-08-23,10
6988,MiawAug,FINAL FANTASY AWAKENING - Android & IOS -  Indonesia,400820,7555,0,21.617,2017-08-22,9
6989,MiawAug,Lawan Dewa - Hellblade: Senua's Sacrifice - Indonesia #2,119480,3919,0,36.733,2017-08-21,14
6990,MiawAug,Tendangan Maut di Crazy Freekick,5481609,59961,0,9.333,2017-08-20,15
6991,MiawAug,Bisikan Maut - Hellblade: Senua's Sacrifice - Indonesia #1,234444,8816,0,26.9,2017-08-19,13
6992,MiawAug,7 Game Indonesia Di Hari Kemerdekaan yang ke 72,432228,16632,0,4.5,2017-08-17,12
6993,MiawAug,Perjuangan Keras - The Joy Of Creation Story Mode - Indonesia (END),3135215,48309,0,25.3,2017-08-16,13
6994,MiawAug,Lenovo Legion Y720 - Indonesia Review,266221,7679,0,7.2,2017-08-15,9
6995,MiawAug,Impossible 😱😱😱 - The Joy Of Creation Story Mode - Indonesia #7,1053975,19629,0,16.567,2017-08-14,14
6996,MiawAug,Main Sambil Tutup Mata - Dancing Line - Indonesia,5222917,89225,0,7.817,2017-08-12,12
6997,MiawAug,Main Sambil Curhat - Skillful Finger - 900k Subs 🎉🎉🎉,379207,11593,0,7.617,2017-08-11,13
6998,MiawAug,Meledak !!! 🔥🔥🔥 - Space Frontier - Indonesia,979919,18067,0,7.217,2017-08-10,11
6999,MiawAug,Yang Berani Aja!!! - The Joy Of Creation Story Mode - Indonesia #6,1465727,26176,0,26.367,2017-08-09,14
7000,MiawAug,Satu Keturunan Darah - Perception - Indonesia (END),178175,5309,0,28.767,2017-08-08,14
7001,MiawAug,Ancaman Besar - The Joy Of Creation Story Mode - Indonesia #5,2994470,37701,0,17.967,2017-08-07,13
7002,MiawAug,MiawAug Ngomong Kotor,7651910,313631,0,1.683,2017-08-06,11
7003,MiawAug,Mereka Jahat!!! - Perception - Indonesia #7,113543,3853,0,20.367,2017-08-05,13
7004,MiawAug,Terror di Ruang Tamu - The Joy Of Creation Story Mode - Indonesia #4,3546029,43466,0,14.567,2017-08-04,8
7005,MiawAug,Mencari Warisan Ortu - Goodbye My King - Indonesia,991704,12293,0,11.083,2017-08-03,13
7006,MiawAug,Boneka Bisa Gerak? - Perception - Indonesia #6,160210,4338,0,26.417,2017-08-02,14
7007,MiawAug,Kanan Kiri Kenak - The Joy Of Creation Story Mode - Indonesia #3,2559786,37999,0,18.1,2017-08-01,13
7008,MiawAug,Indonesia International Pet Expo - MiawAug Vlog,411392,12733,0,9.1,2017-07-31,11
7009,MiawAug,Jangan Tidur!!! - The Joy Of Creation Story Mode - Indonesia #2,2696070,35217,0,14.3,2017-07-30,10
7010,MiawAug,I see You 👻👻👻 - Perception - Indonesia #5,137287,4833,0,21.75,2017-07-29,10
7011,MiawAug,FNAF Kembali - The Joy Of Creation Story Mode - Indonesia #1,2905797,51037,0,28.7,2017-07-28,14
7012,MiawAug,Thug Life Di Hello Neighbor (Beta),5007825,55227,0,19.367,2017-07-27,9
7013,MiawAug,Tak Terlihat - Perception - Indonesia #4,142024,4470,0,21.25,2017-07-25,14
7014,MiawAug,Jadi Detective Gambar Dolo,628531,20098,0,11.2,2017-07-24,8
7015,MiawAug,Akhirnya Gw Liat!!! - Perception - Indonesia #3,275164,7298,0,22.85,2017-07-23,12
7016,MiawAug,Gw Nggak Sendiri - Perception - Indonesia #2,618736,12757,0,25.017,2017-07-22,15
7017,MiawAug,Perjalanan Orang Buta - Perception - Indonesia #1,690774,17422,0,19.067,2017-07-21,14
7018,MiawAug,Masa Kecil Peter - Guardians of the Galaxy #4,170591,4099,0,26.467,2017-07-21,8
7019,MiawAug,Nintendo Dijadiin Rebutan 😱😱😱,4451996,42886,0,13.667,2017-07-19,9
7020,MiawAug,Akhirnya Gw Bunuh Jason !!! 😎😎😎,10797483,147343,0,22.55,2017-07-18,11
7021,MiawAug,MiawAug Meledak - Exploding Kittens - Indonesia,518774,10510,0,13.0,2017-07-17,10
7022,MiawAug,Annoying MiawAug - Guts and Glory - Indonesia,10207216,105359,0,11.6,2017-07-15,12
7023,MiawAug,Sang Penyihir Telah Kembali 😈😈😈,352389,12470,0,13.15,2017-07-14,8
7024,MiawAug,Kekuasaan Gw Direbut!!! - Goodbye My King - Indonesia,3228188,38844,0,13.4,2017-07-13,8
7025,MiawAug,Siapa Si Yang Jahat?? - Tekken 7 - Indonesia (END),1215151,19059,0,44.167,2017-07-12,8
7026,MiawAug,Nintendo Gw Disita Lagi 😭😭😭,1986740,46732,0,11.167,2017-07-11,8
7027,MiawAug,Bertemu SIX - Little Nightmares: The Depths - Indonesia (END),2470460,43152,0,15.7,2017-07-10,9
7028,MiawAug,Ada Monster!!! - Little Nightmares: The Depths - Indonesia #2,1925182,30627,0,14.483,2017-07-09,8
7029,MiawAug,Mencari Kebebasan - Little Nightmares: The Depths - Indonesia #1,2334925,46271,0,11.7,2017-07-08,11
7030,MiawAug,Akuma kok disini??? - Tekken 7 - Indonesia #4,288271,5729,0,21.483,2017-07-07,14
7031,MiawAug,Saatnya Berpisah - The Walking Dead: A New Frontier (END),577851,15164,0,22.517,2017-07-06,8
7032,MiawAug,Berantem Dengan David - The Walking Dead: A New Frontier #15,321487,9707,0,20.733,2017-07-04,13
7033,MiawAug,Salah Jalan!!! - Friday The 13th The Game - Indonesia,1396877,26773,0,12.767,2017-07-03,12
7034,MiawAug,Menjadi Kota Yang Hancur - The Walking Dead: A New Frontier #14,323274,9519,0,29.017,2017-07-02,9
7035,MiawAug,Game Moba Baru Nich!!! - Mobile Arena / Arena of Valor - Indonesia,398423,7487,0,15.5,2017-07-01,11
7036,MiawAug,Unboxing Termahal di Youtube Channel MiawAug,1660632,46358,0,10.9,2017-06-30,11
7037,MiawAug,Trick Fidget Spinner Terkeren!!! - Spinz.io - Indonesia,739288,14775,0,10.967,2017-06-29,10
7038,MiawAug,Janji Kepada David - The Walking Dead: A New Frontier #13,287294,9064,0,24.2,2017-06-28,14
7039,MiawAug,Game Seru Nich!!! - Heroes Evolved - Indonesia,889322,15002,0,18.317,2017-06-27,10
7040,MiawAug,Mereka Jatuh Cinta - The Walking Dead: A New Frontier #12,364180,10369,0,31.133,2017-06-26,12
7041,MiawAug,Persiapan Perang - The Walking Dead: A New Frontier #11,325679,9673,0,24.55,2017-06-25,12
7042,MiawAug,5 Game Mobile Yang Seru Pas Libur Lebaran,2020960,74388,0,4.95,2017-06-24,14
7043,MiawAug,Melarikan Diri - The Walking Dead: A New Frontier #10,343523,10180,0,27.1,2017-06-23,10
7044,MiawAug,Hampir Mati LOL - The Walking Dead: A New Frontier #9,383166,10532,0,28.083,2017-06-22,11
7045,MiawAug,Cerita Clementine - The Walking Dead: A New Frontier #8,360388,10596,0,23.867,2017-06-21,10
7046,MiawAug,Kehadiran Jin Kazama - Tekken 7 - Indonesia #3,377923,7241,0,22.417,2017-06-20,12
7047,MiawAug,David Masih Hidup - The Walking Dead: A New Frontier #7,375427,11047,0,29.933,2017-06-19,10
7048,MiawAug,Clementine Ternyata??? - The Walking Dead: A New Frontier #6,552769,12311,0,26.25,2017-06-18,10
7049,MiawAug,Game Puzzle Yang Lucu - Arami Puzzventure - Indonesia,72499,3641,0,14.8,2017-06-17,4
7050,MiawAug,Kate Sekarat - The Walking Dead: A New Frontier #5,358997,10577,0,26.833,2017-06-16,12
7051,MiawAug,Unboxing Mainan TRANSFORMERS - Indonesia,2099637,47026,0,11.767,2017-06-15,10
7052,MiawAug,Susah Lolos Dari Jason - Friday The 13th The Game - Indonesia,2043881,30740,0,14.117,2017-06-14,12
7053,MiawAug,Baling Baling Bambu - Tekken 7 - Indonesia #2,507008,9185,0,17.017,2017-06-13,10
7054,MiawAug,Selamat Tinggal Mari - The Walking Dead: A New Frontier #4,457603,12436,0,25.517,2017-06-12,13
7055,MiawAug,Kenny?? AJ??? - The Walking Dead: A New Frontier #3,529449,13847,0,30.683,2017-06-11,12
7056,MiawAug,Perjalanan Kazuya - Tekken 7 - Indonesia #1,1139282,21668,0,20.967,2017-06-10,11
7057,MiawAug,5 Tech di Google I/O 2017,248821,10426,0,8.817,2017-06-09,13
7058,MiawAug,Clementine??? - The Walking Dead: A New Frontier #2,524038,14707,0,25.033,2017-06-08,13
7059,MiawAug,Hero Baru dan Update Talent - Vainglory 🔥 🔥 🔥,218160,6127,0,10.15,2017-06-07,11
7060,MiawAug,Perjalanan Baru - The Walking Dead: A New Frontier #1,718813,19474,0,20.55,2017-06-06,13
7061,MiawAug,Ampun Jason LOL!!! - Friday The 13th The Game - Indonesia,3642072,50524,0,14.533,2017-06-04,12
7062,MiawAug,YouTube Gaming Indonesia Tournament 2017,542027,20665,1,240.133,2017-06-03,11
7063,MiawAug,Jadi JASON!!! - Friday The 13th The Game - Indonesia,17854926,193328,0,10.95,2017-06-02,13
7064,MiawAug,Akhirnya 4 Kunci - Hello Neighbor - Indonesia (END),10135157,109009,0,21.833,2017-06-01,14
7065,MiawAug,Bertahan!!! - RESIDENT EVIL 7 - Banned Footage - Nightmare,843744,20119,0,39.35,2017-05-31,12
7066,MiawAug,Dihantui Jason - Friday The 13th The Game - Indonesia,2064976,38581,0,14.767,2017-05-30,12
7067,MiawAug,TTS Itu Sulit!!! - TTS Cak Lontong,1743379,31450,0,8.133,2017-05-28,14
7068,MiawAug,Dunia Kiamat? - Outlast 2  - Indonesia #END,5271715,68451,0,17.717,2017-05-27,13
7069,MiawAug,Tentang Jessica - Outlast 2  - Indonesia #14,1183089,16569,0,22.3,2017-05-26,10
7070,MiawAug,Kebawah Tanah - Outlast 2  - Indonesia #13,646565,12037,0,19.383,2017-05-24,12
7071,MiawAug,BerHalusinasi - Outlast 2  - Indonesia #12,7366440,68916,0,19.75,2017-05-23,12
7072,MiawAug,Gadget Yang dibawa MiawAug keluar negeri,315670,15797,0,11.433,2017-05-21,7
7073,MiawAug,Gw Hanya Manusia Biasa,479681,37199,0,5.5,2017-05-18,8
7074,MiawAug,Tebakan Receh - TTS Cak Lontong,4773162,90556,0,10.3,2017-05-17,8
7075,MiawAug,Jualan Tahu - Tahu Bulat 2 - Indonesia,700902,17824,0,4.3,2017-05-16,8
7076,MiawAug,Basement Penuh Misteri - Hello Neighbor - Indonesia #8,28845600,209229,0,20.733,2017-05-15,9
7077,MiawAug,Hujan Darah - Outlast 2  - Indonesia #11,609228,12856,0,21.717,2017-05-14,11
7078,MiawAug,Peter Terluka - Guardians of the Galaxy EP 1 #3,263199,5274,0,29.417,2017-05-13,12
7079,MiawAug,Xl Break The Box,559585,20819,1,103.017,2017-05-13,11
7080,MiawAug,Berakit Rakit Ke Hulu - Outlast 2  - Indonesia #10,430264,9917,0,21.0,2017-05-12,10
7081,MiawAug,Bapake Is Back - Hello Neighbor - Indonesia #7,10182584,98983,0,25.95,2017-05-11,11
7082,MiawAug,Meet and Greet Yuk!!! di Event XL Break The Box,117712,7092,0,3.35,2017-05-11,8
7083,MiawAug,Dikubur Hidup Hidup - Outlast 2  - Indonesia #9,587016,12930,0,24.667,2017-05-10,14
7084,MiawAug,Diburu Maniac - Outlast 2  - Indonesia #8,510556,11065,0,24.417,2017-05-09,14
7085,MiawAug,Mimpi Buruk - Little Nightmares - Indonesia (END),8501901,102261,0,20.183,2017-05-08,10
7086,MiawAug,Gw Diperebutkan - Little Nightmares - Indonesia #5,19722354,159924,0,22.15,2017-05-07,13
7087,MiawAug,Jumpscare Terbaik - Outlast 2  - Indonesia #7,791752,18094,0,23.167,2017-05-06,10
7088,MiawAug,Mosnter Gembul - Little Nightmares - Indonesia #4,8502480,76644,0,22.633,2017-05-05,10
7089,MiawAug,Biang Keroknya - Outlast 2  - Indonesia #6,530896,11462,0,22.783,2017-05-04,10
7090,MiawAug,Ketangkep Terus - Little Nightmares - Indonesia #3,3765547,44298,0,22.083,2017-05-03,13
7091,MiawAug,Kejar Kejaran - Outlast 2  - Indonesia #5,518622,11453,0,21.0,2017-05-02,12
7092,MiawAug,Monster yang Aneh - Little Nightmares - Indonesia #2,3578296,46222,0,21.15,2017-05-01,12
7093,MiawAug,Patung Menangis - Outlast 2  - Indonesia #4,599284,12534,0,20.7,2017-05-01,8
7094,MiawAug,Tidak Ada Penyesalan - The Walking Dead: Season 2 (END),937387,21752,0,46.217,2017-04-30,12
7095,MiawAug,Ini Game Bagus - Little Nightmares - Indonesia #1,4296956,99093,0,20.967,2017-04-30,8
7096,MiawAug,NO... Luke!!! - The Walking Dead: Season 2 #14,500592,11925,0,27.383,2017-04-29,12
7097,MiawAug,Terlalu Tegang - Outlast 2  - Indonesia #3,895636,17354,0,22.817,2017-04-28,12
7098,MiawAug,Namanya Alvin Jr - The Walking Dead: Season 2 #13,706832,14440,0,30.117,2017-04-27,14
7099,MiawAug,Lynn Hamil??!! - Outlast 2  - Indonesia #2,1072076,20167,0,27.067,2017-04-26,8
7100,MiawAug,Ada Kehidupan Baru - The Walking Dead: Season 2 #12,829625,17287,0,30.283,2017-04-25,13
7101,MiawAug,Siapkan Jantung Kalian - Outlast 2  - Indonesia #1,2079562,44504,0,21.1,2017-04-25,8
7102,MiawAug,Mereka Bubar? - Guardians of the Galaxy EP 1 #2,335658,6545,0,24.65,2017-04-24,13
7103,MiawAug,Kondisi Tidak Menentu - The Walking Dead: Season 2 #11,485480,11980,0,28.05,2017-04-23,13
7104,MiawAug,Taruhan Jari - RESIDENT EVIL 7 - Banned Footage - 21 Survival,4815805,71049,0,22.467,2017-04-22,8
7105,MiawAug,Sarah Menghilang!!! - The Walking Dead: Season 2 #10,656506,13842,0,32.417,2017-04-21,12
7106,MiawAug,Melawan Thanos - Guardians of the Galaxy EP 1 #1,2636817,43405,0,29.55,2017-04-20,14
7107,MiawAug,Ketahuan!! - The Walking Dead: Season 2 #9,585861,12562,0,35.167,2017-04-19,14
7108,MiawAug,Persiapan Kabur - The Walking Dead: Season 2 #8,595628,13800,0,35.85,2017-04-18,13
7109,MiawAug,Keluarga Baru??!! - The Walking Dead: Season 2 #7,558023,12968,0,23.3,2017-04-17,14
7110,MiawAug,Teriak Sampe Serak - Chicken Scream,2234598,49000,0,10.45,2017-04-16,13
7111,MiawAug,Mati ? Makan CABE!!! - Vainglory Challenge 🔥 🔥 🔥,525782,12242,0,18.483,2017-04-15,8
7112,MiawAug,Carlos Terancam - The Walking Dead: Season 2 #6,670773,14684,0,33.383,2017-04-14,9
7113,MiawAug,Kenny??!!! - The Walking Dead: Season 2 #5,858322,18078,0,30.867,2017-04-13,13
7114,MiawAug,Clementine Harus Berbohong - The Walking Dead: Season 2 #4,1201025,20439,0,34.467,2017-04-12,12
7115,MiawAug,Demi Bertahan Hidup - The Walking Dead: Season 2 #3,4064447,48238,0,31.833,2017-04-11,10
7116,MiawAug,Bertemu Orang Baru - The Walking Dead: Season 2 #2,784265,17509,0,24.967,2017-04-10,8
7117,MiawAug,Tebak Makanan Korea Ft Gogogoy & The Jooomers,2519839,57620,0,32.25,2017-04-08,10
7118,MiawAug,Awal yang menyedihkan - The Walking Dead: Season 2 #1,1200736,30951,0,22.65,2017-04-07,14
7119,MiawAug,Dewa Judi - RESIDENT EVIL 7 - Banned Footage - 21,10996528,161458,0,29.2,2017-04-06,8
7120,MiawAug,Masa kecil yang suram - Layers Of Fear: Inheritance,151156,4639,0,20.883,2017-04-04,14
7121,MiawAug,Penemuan 3 Fosil Dinosaurus,2900071,66398,0,19.233,2017-04-03,13
7122,MiawAug,Bobo Yuk - RESIDENT EVIL 7 - Banned Footage - BedRoom,4058466,46782,0,22.317,2017-04-02,10
7123,MiawAug,Paranormal Experience - MiawAug,4238175,157578,0,7.933,2017-04-01,10
7124,MiawAug,True Ending - RESIDENT EVIL 7 - Banned Footage - Daughter,1004079,18404,0,17.867,2017-03-30,13
7125,MiawAug,Papa Pemarah - Layers Of Fear: Inheritance,167505,4991,0,21.1,2017-03-29,12
7126,MiawAug,Lukisan Masa Kecilku - Layers Of Fear: Inheritance,209577,6492,0,20.25,2017-03-28,14
7127,MiawAug,Tragedi Keluarga Baker - RESIDENT EVIL 7 - Banned Footage - Daughter,796905,15664,0,20.75,2017-03-27,14
7128,MiawAug,Main Vainglory Pake Jepitan Jemuran Siyapp!!?,156103,5570,0,10.633,2017-03-26,10
7129,MiawAug,Kangen Ma Si Letoy - Human Fall Flat - Indonesia #3,21405507,211936,0,20.733,2017-03-25,14
7130,MiawAug,Vince - The Walking Dead Game - 400 Days (END),343236,9075,0,20.25,2017-03-24,10
7131,MiawAug,Shel - The Walking Dead Game - 400 Days,215003,6429,0,20.383,2017-03-23,13
7132,MiawAug,Bonnie - The Walking Dead Game - 400 Days,227652,6953,0,13.883,2017-03-22,13
7133,MiawAug,Wyatt - The Walking Dead Game - 400 Days,251156,8104,0,12.95,2017-03-21,12
7134,MiawAug,Russell - The Walking Dead Game - 400 Days,419079,13137,0,18.233,2017-03-20,14
7135,MiawAug,Kehidupan Polisi Di Jakarta Keras - 911 Operator,294790,8813,0,17.45,2017-03-19,9
7136,MiawAug,Jack Tertangkap - Quantum Break - Indonesia #6,92518,3147,0,45.1,2017-03-18,9
7137,MiawAug,Mie Goreng atau Mie Kuah #PilihMana Ft Alaena,170418,6369,0,15.833,2017-03-16,13
7138,MiawAug,Suara Lo Bagus? Coba Main Ini Game!!! - Eighth Note,2185033,73761,0,10.8,2017-03-15,12
7139,MiawAug,Nggak ada yang bisa Simpen Nintendo gw!!!,5425896,97638,0,16.2,2017-03-14,14
7140,MiawAug,Mabar dan Bisa dapat 200Jt??!! - Crisis Action Indonesia,986683,22548,0,13.483,2017-03-13,11
7141,MiawAug,MiawAug Challenge - NgePrank Youtuber Indonesia,2927792,79555,0,15.6,2017-03-12,14
7142,MiawAug,Terima Kasih Untuk 500K Subscribers + Giveaway MiawAug,346459,30028,0,10.0,2017-03-10,10
7143,MiawAug,Wujud Asli Eveline - RESIDENT EVIL 7 - END,2567353,40571,0,28.067,2017-03-09,11
7144,MiawAug,Pengorbanan Mia - RESIDENT EVIL 7 - Indonesia #15,1244587,19627,0,27.167,2017-03-08,12
7145,MiawAug,Mencari Ethan - RESIDENT EVIL 7 - Indonesia #14,1016117,16821,0,21.95,2017-03-07,11
7146,MiawAug,Kehancuran Waktu - Quantum Break - Indonesia #5,94816,2857,0,25.35,2017-03-06,11
7147,MiawAug,Dia Penyebabnya !!! - RESIDENT EVIL 7 - Indonesia #13,1329312,20439,0,26.333,2017-03-05,11
7148,MiawAug,"Nintendo Baru Gw Di Sita, TOLONG!!!!",7515385,125257,0,10.017,2017-03-04,12
7149,MiawAug,Menolong AMY - Quantum Break - Indonesia #4,105380,3386,0,25.0,2017-03-03,14
7150,MiawAug,Sorry Zoe - RESIDENT EVIL 7 - Indonesia #12,1620721,23311,0,19.617,2017-03-02,12
7151,MiawAug,Nonton Yuk - Quantum Break - Indonesia #3,105408,3891,0,26.467,2017-03-01,12
7152,MiawAug,PAPA Datang Lagi - RESIDENT EVIL 7 - Indonesia #11,3410763,36005,0,22.967,2017-02-28,14
7153,MiawAug,Mengendalikan Waktu - Quantum Break - Indonesia #2,136672,4095,0,26.733,2017-02-27,13
7154,MiawAug,Penuh dengan Jebakan - RESIDENT EVIL 7 - Indonesia #10,1155628,19547,0,23.1,2017-02-26,15
7155,MiawAug,Game Atau Film ? - Quantum Break - Indonesia #1,295048,9774,0,27.383,2017-02-25,14
7156,MiawAug,Kakak Termengerikan - RESIDENT EVIL 7 - Indonesia #9,1632282,23364,0,27.35,2017-02-24,14
7157,MiawAug,Selamat Tinggal Clementine - The Walking Dead Game - END,1497966,29897,0,33.8,2017-02-23,14
7158,MiawAug,Game Horror ? - RESIDENT EVIL 7 - Indonesia #8,1553756,23813,0,20.3,2017-02-22,11
7159,MiawAug,Kehilangan Teman - The Walking Dead Game - Indonesia #22,481083,12398,0,26.45,2017-02-21,15
7160,MiawAug,Mama Marah !!! - RESIDENT EVIL 7 - Indonesia #7,3071243,38460,0,27.683,2017-02-20,11
7161,MiawAug,Clementine Menghilang - The Walking Dead Game - Indonesia #21,480859,13138,0,32.05,2017-02-19,11
7162,MiawAug,Makan Warteg atau Nasi Padang ? #PilihMana Ft Han Yoo ra,1173993,42686,0,18.667,2017-02-18,11
7163,MiawAug,Monster Serangga - RESIDENT EVIL 7 - Indonesia #6,1238548,22490,0,25.067,2017-02-17,12
7164,MiawAug,Pilihan Terberat - The Walking Dead Game - Indonesia #20,476319,12379,0,31.317,2017-02-16,11
7165,MiawAug,Mama Papa Sadis - RESIDENT EVIL 7 - Indonesia #5,1267875,21569,0,28.067,2017-02-15,11
7166,MiawAug,Hari Kasih Sayang - Valentine - #CHATDONG #45,783627,32303,0,12.133,2017-02-14,11
7167,MiawAug,Valentine ? Jomblo ? Main Game Ini Aja - Yume100 Indonesia,178377,5396,0,10.7,2017-02-13,11
7168,MiawAug,Cewe Manja Atau Cewe Mandiri ? #PilihMana Ft Sonalibaba,246776,9375,0,13.25,2017-02-11,12
7169,MiawAug,Pembagian Tugas - The Walking Dead Game - Indonesia #19,537346,12281,0,22.95,2017-02-10,15
7170,MiawAug,Penunggu Basement - RESIDENT EVIL 7 - Indonesia #4,1329287,20887,0,19.817,2017-02-09,12
7171,MiawAug,Keputusan Terberat - The Walking Dead Game - Indonesia #18,500742,11644,0,29.467,2017-02-08,12
7172,MiawAug,Papa Tergalak - RESIDENT EVIL 7 Biohazard - Indonesia #3,2196737,30909,0,24.45,2017-02-07,11
7173,MiawAug,Rencana Gagal - The Walking Dead Game - Indonesia #17,535024,11991,0,26.0,2017-02-06,13
7174,MiawAug,Berhenti Youtube Atau Diputusin Pacar? #PilihMana,248961,10278,0,14.4,2017-02-05,12
7175,MiawAug,Cewe Gw Ngamuk - RESIDENT EVIL 7 Biohazard - Indonesia #2,1907391,30632,0,26.7,2017-02-04,12
7176,MiawAug,Mencari Mia - RESIDENT EVIL 7 Biohazard - Indonesia #1,3334223,57661,0,28.183,2017-02-03,10
7177,MiawAug,MiawAug Minta Maaf,1238140,55631,0,5.45,2017-02-01,12
7178,MiawAug,Orang Baru Lagi - The Walking Dead Game - Indonesia #16,616490,12982,0,29.633,2017-01-28,12
7179,MiawAug,Siapkah Clementine ? - The Walking Dead Game - Indonesia #15,544461,11565,0,21.917,2017-01-26,14
7180,MiawAug,Jurang Kematian - Sky Dancer - IOS & Android - Indonesia,257996,5254,0,6.983,2017-01-24,13
7181,MiawAug,Kesedihan Kenny - The Walking Dead Game - Indonesia #14,517789,11453,0,24.85,2017-01-23,11
7182,MiawAug,Youtube Idol Indonesia 2017 - MiawAug,674671,17241,0,10.367,2017-01-22,11
7183,MiawAug,Saatnya Berkebun - Raft - Indonesia #3,6746673,64259,0,10.483,2017-01-21,11
7184,MiawAug,Melatih Otak - Drop Flip - IOS & Android - Indonesia,570530,12440,0,6.017,2017-01-20,12
7185,MiawAug,Mimpi Buruk - The Walking Dead Game - Indonesia #13,754677,12972,0,24.8,2017-01-19,11
7186,MiawAug,Kebakaran di Rumah Sakit - ARAYA - Indonesia END,947774,21090,0,7.667,2017-01-18,13
7187,MiawAug,Kematian Tragis - ARAYA - Indonesia #12,618141,14953,0,16.817,2017-01-17,11
7188,MiawAug,Diserang Bandit - The Walking Dead Game - Indonesia #12,551934,12002,0,29.9,2017-01-16,11
7189,MiawAug,Misteri Rama - ARAYA - Indonesia #11,568264,13049,0,17.9,2017-01-15,11
7190,MiawAug,Posisi Terhimpit - The Walking Dead Game - Indonesia #11,668764,13675,0,25.517,2017-01-14,11
7191,MiawAug,Pembunuh Hiu - Raft - Indonesia #2,12462124,102404,0,19.833,2017-01-13,10
7192,MiawAug,Akhirnya Bertemu Juga - ARAYA - Indonesia #10,716581,15938,0,17.383,2017-01-12,10
7193,MiawAug,Guild Milovers di Lineage Red Knights - IOS & Android Indonesia,102689,2490,0,9.15,2017-01-11,9
7194,MiawAug,Tragis Banget - The Walking Dead Game - Indonesia #10,662149,13475,0,30.133,2017-01-10,13
7195,MiawAug,Terjebak di Laut - Raft - Indonesia #1,3934596,43524,0,12.617,2017-01-09,9
7196,MiawAug,Ternyata Temen Gw !!! - ARAYA - Indonesia #9,724064,15485,0,18.867,2017-01-08,12
7197,MiawAug,Hero Terkuat - Seven Knights - Indonesia Gameplay,279714,4848,0,6.65,2017-01-07,12
7198,MiawAug,Terbukti !!! - The Walking Dead Game - Indonesia #9,545090,11883,0,25.433,2017-01-06,14
7199,MiawAug,Jadi Monster - Resident Evil 7 Teaser: Beginning Hour - Indonesia,388928,8177,0,12.583,2017-01-05,12
7200,MiawAug,Tempat Parkir Angker - ARAYA - Indonesia #8,513344,12271,0,19.1,2017-01-04,15
7201,MiawAug,Mencurigakan - The Walking Dead Game - Indonesia #8,542235,11362,0,21.95,2017-01-03,11
7202,MiawAug,Mimpi Buruk - ARAYA - Indonesia #7,478549,13040,0,16.483,2017-01-02,13
7203,MiawAug,Tempat Baru - The Walking Dead Game - Indonesia #7,664701,13331,0,21.183,2017-01-01,15
7204,MiawAug,Video Terakhir MiawAug di 2016 - Happy New Year 2017,184323,10644,0,5.117,2016-12-31,15
7205,MiawAug,Om Telolet Om - Clustertruck - Indonesia,1892905,23355,0,11.767,2016-12-31,12
7206,MiawAug,Penyelamat Disaat Mati Lampu - War of Angels - Indonesia,1589340,36627,0,10.033,2016-12-29,15
7207,MiawAug,Minta Dipeluk - ARAYA - Indonesia #6,570153,13251,0,16.45,2016-12-29,12
